Live,#genre#
國家人文,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910ca6
WAKUWAKU,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910d38
BBC Lifestyle,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cba
History歷史,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cee
History 歷史2,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cec
FRANCE24,rtmp://45.88.148.122/channel/611c85843e4da143c01598f3
民視HD,rtmp://45.92.126.226/channel/60c317bd961593122ebaf90a
好消息2,rtmp://104.149.141.122/channel/61000cf1f0618408855f36c2
台視HD,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910c44
大愛,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910c7a
中視HD,rtmp://45.92.126.114/channel/60c3166c961593122ebaf8fe
霹靂台灣台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c72
華視HD,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c4c
公視,rtmp://45.92.126.114/channel/60c3176f961593122ebaf906
人間衛視,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910c52
好消息,rtmp://45.88.148.178/channel/60c31888961593122ebaf912
原民台,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c42
客家電視台,rtmp://45.92.126.226/channel/61003b23f0618408855f3748
國家地理高畫質,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910d1e
探索,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d6e
TLC,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910cfa
動物星球,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d6c
CN卡通頻道,rtmp://104.149.130.142/channel/60f451628dfe8209677fda46
迪士尼 ,rtmp://104.149.131.118/channel/60f451968dfe8209677fda48
MOMO親子,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910cc8
東森幼幼,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d84
緯來綜合,rtmp://104.149.131.118/channel/60c312b7961593122ebaf8f1
八大第一,rtmp://104.149.131.118/channel/60c31d07961593122ebaf92d
八大綜合,rtmp://45.83.118.242/channel/60c31c5a961593122ebaf92b
三立台灣,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910c78
